RANK,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
180,Moritz Wagner,Orl,F-C,26,57,19.5,21.1,14.6,182,0.841,233,0.631,163,0.313,0.564,0.63,10.5,4.5,1.5,0.6,0.2,1.2,15.1,12,16.5,8.5,122.3,102.9
181,Grayson Allen,Mil,G,27.5,72,27.4,14.6,11.4,126,0.905,191,0.518,366,0.399,0.571,0.612,10.4,3.3,2.3,0.9,0.2,1,13.7,12.7,16,6.3,123.6,109.9
182,Josh Hart,Nyk,G,28.1,24,30.2,12.4,19.5,57,0.789,97,0.619,51,0.529,0.679,0.711,10.3,6.9,3.6,1.4,0.5,1.5,17.1,13.8,20.7,8.4,136.9,106.6
183,Tyus Jones,Mem,G,26.9,80,24.2,17.7,9.4,100,0.8,384,0.495,326,0.371,0.523,0.546,10.3,2.5,5.2,1,0.1,0.9,12.8,15.5,18,8.5,122.2,114.8
184,Monte Morris,Was,G,27.8,62,27.4,15.6,10.4,77,0.831,311,0.543,204,0.382,0.555,0.579,10.3,3.4,5.3,0.7,0.2,1,13.6,15.5,18.9,8.3,125.2,115.5
185,Svi Mykhailiuk,Cha,G-F,25.8,18,21.8,18.9,11.7,32,0.656,64,0.484,79,0.43,0.573,0.589,10.3,2.2,2.6,0.7,0.2,1.1,12.4,12.8,15,7.1,116.3,116
186,Cameron Payne,Pho,G,28.7,48,20.2,24.8,15.2,64,0.766,268,0.448,185,0.368,0.49,0.512,10.3,2.2,4.5,0.7,0.2,1.7,12.5,14.7,16.9,9.3,106,108.4
187,Patrick Williams,Chi,F,21.6,81,28.4,15.8,13.1,105,0.857,396,0.5,276,0.417,0.551,0.579,10.3,4,1.2,0.9,0.9,1.2,14.3,11.5,15.5,5.2,109,110.2
188,Doug McDermott,San,F,31.3,64,20.5,19.3,10,70,0.757,225,0.516,298,0.413,0.575,0.59,10.2,2.2,1.4,0.2,0.1,0.9,12.4,11.6,13.8,6.2,113,116.6
189,Killian Hayes,Det,G,21.7,75,28.2,20.4,17.4,104,0.817,519,0.428,278,0.277,0.423,0.451,10.1,2.8,6.2,1.4,0.4,2.2,13,16.3,19.1,7.9,98.2,111.4
190,De'Anthony Melton,Phi,G,24.9,77,27.9,16.5,13.5,87,0.793,248,0.484,403,0.39,0.546,0.566,10.1,4.1,2.6,1.6,0.5,1.3,14.2,12.7,16.8,6.8,111.6,106.1
191,Aaron Nesmith,Ind,G-F,23.5,72,24.9,16.8,11.3,139,0.835,271,0.491,311,0.367,0.522,0.563,10.1,3.8,1.3,0.8,0.4,1,13.8,11.4,15.2,5.9,111,108.9
192,Brandon Clarke,Mem,F,26.5,56,19.5,17.7,13.6,137,0.723,343,0.665,6,0.167,0.658,0.682,10,5.5,1.3,0.6,0.7,1,15.5,11.3,16.8,8.5,131.1,100.8
193,Cam Thomas,Bro,G,21.5,56,16.2,27.4,12.1,166,0.861,302,0.464,125,0.36,0.486,0.558,10,1.7,1.4,0.3,0.1,1.1,11.6,11.3,13,7.1,107,113.9
194,Malaki Branham,San,F,19.9,64,23.4,19,11.2,63,0.81,339,0.528,246,0.305,0.498,0.517,9.9,2.7,2,0.5,0.1,1.2,12.6,11.9,14.6,6.4,102.3,117.2
195,Herbert Jones,Nor,F,24.5,65,29.4,14.6,14.6,159,0.761,332,0.536,165,0.339,0.527,0.569,9.9,4.1,2.4,1.5,0.6,1.3,14,12.4,16.4,6.3,115.6,104.7
196,Jonathan Kuminga,Gol,F,20.5,66,20.8,19.6,15.9,136,0.647,343,0.589,145,0.366,0.577,0.594,9.9,3.4,1.8,0.6,0.4,1.4,13.3,11.7,15.1,7.6,112,107.6
197,Onyeka Okongwu,Atl,F-C,22.3,79,23.1,15.1,14,194,0.784,479,0.647,11,0.273,0.642,0.679,9.9,7.2,1,0.7,1.4,1,17.1,10.9,18.1,7.2,135,103.4
